
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,1988 Summer,Aleksandr Karelin,481,319,162,27,55,31,46,132,Vladimir Artyomov (5 medals)
2,1988 Winter,Andrey Bukin,101,78,23,10,11,9,9,29,3 athletes with 3 medals
3,1984 Winter,Vladislav Tretyak,99,74,25,10,6,10,9,25,6 athletes with 2 medals
4,1980 Summer,Nikolay Balboshin,489,340,149,23,80,69,46,195,Aleksandr Dityatin (8 medals)
5,1980 Winter,Aleksandr Tikhonov,86,63,23,9,10,6,6,22,Anatoly Alyabyev and Nikolay Zimyatov (3 medals)
6,1976 Summer,Vasily Alekseyev,410,285,125,22,49,41,35,125,Nikolay Andrianov (7 medals)
7,1976 Winter,Vladislav Tretyak,79,59,20,9,13,6,8,27,Tatyana Averina-Barabash (4 medals)
8,1972 Summer,Aleksandr Medved,371,298,73,22,50,27,22,99,3 athletes with 4 medals
9,1972 Winter,Vyacheslav Vedenin,76,55,21,9,8,5,3,16,Galina Kulakova and Vyacheslav Vedenin (3 medals)
10,1968 Summer,Leonid Zhabotynskiy,312,246,66,18,29,32,30,91,Mikhail Voronin (7 medals)
11,1968 Winter,Viktor Mamatov,74,54,20,8,5,5,3,13,5 athletes with 2 medals
12,1964 Summer,Yury Vlasov,317,254,63,19,30,31,35,96,Larysa Latynina (6 medals)
13,1964 Winter,Yevgeny Grishin,69,53,16,8,11,8,6,25,Lidiya Skoblikova (4 medals)
14,1960 Summer,Yury Vlasov,283,233,50,17,43,29,31,103,Borys Shakhlin (7 medals)
15,1960 Winter,Nikolay Sologubov,62,48,14,8,7,5,9,21,7 athletes with 2 medals
16,1956 Summer,Aleksey Medvedev,272,233,39,17,37,29,32,98,Larysa Latynina (6 medals)
17,1956 Winter,Oleg Goncharenko,53,47,6,6,7,3,6,16,Pavel Kolchin (3 medals)
18,1956 Equestrian,Nikolay Sitko,9,9,0,1,,,,,
19,1952 Summer,Yakov Kucenko,295,255,40,18,22,30,19,71,Mariya Horokhovska (7 medals)
