
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Rodolfo Collazo,27,24,3,8,,,,,
2,2008 Summer,Alejandro Foglia,12,9,3,6,,,,,
3,2004 Summer,Serrana Fernández,15,13,2,6,,,,,
4,2000 Summer,Mónica Falcioni,15,12,3,7,,1,,1,Milton Wynants (1 medal)
5,1998 Winter,Gabriel Hottegindre,1,1,0,1,,,,,
6,1996 Summer,Marcelo Filippini,14,12,2,8,,,,,
7,1992 Summer,,16,16,0,11,,,,,
8,1988 Summer,Jesús Posse,15,14,1,8,,,,,
9,1984 Summer,Carlos Peinado,18,17,1,5,,,,,
10,1976 Summer,,9,7,2,5,,,,,
11,1972 Summer,Darwin Piñeyrúa,13,10,3,5,,,,,
12,1968 Summer,,27,21,6,8,,,,,
13,1964 Summer,,23,23,0,4,,,1,1,Washington Rodríguez (1 medal)
14,1960 Summer,,34,34,0,8,,,,,
15,1956 Summer,,21,21,0,5,,,1,1,12 athletes with 1 medal
16,1952 Summer,,32,31,1,9,,,2,2,14 athletes with 1 medal
17,1948 Summer,,61,60,1,11,,1,1,2,3 athletes with 1 medal
18,1936 Summer,,37,37,0,6,,,,,
19,1932 Summer,,2,2,0,2,,,1,1,Guillermo Douglas (1 medal)
20,1928 Summer,,17,17,0,1,1,,,1,17 athletes with 1 medal
21,1924 Summer,,26,26,0,4,1,,,1,14 athletes with 1 medal
