
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Kseniya Grigoryeva,3,2,1,2,,,,,
2,2012 Summer,Elshod Rasulov,53,36,17,14,1,,2,3,3 athletes with 1 medal
3,2010 Winter,Oleg Shamayev,3,1,2,2,,,,,
4,2008 Summer,Dilshod Makhmudov,56,41,15,14,1,2,3,6,6 athletes with 1 medal
5,2006 Winter,Kayrat Ermetov,4,2,2,2,,,,,
6,2004 Summer,Abdullo Tangriyev,69,51,18,14,2,1,2,5,5 athletes with 1 medal
7,2002 Winter,Komil Urunbayev,6,3,3,2,,,,,
8,2000 Summer,Mukhammad Kadyr Abdullayev,70,52,18,12,1,1,2,4,4 athletes with 1 medal
9,1998 Winter,Komil Urunbayev,4,2,2,3,,,,,
10,1996 Summer,Temur Ibragimov,71,63,8,12,,1,1,2,Karim Tulyaganov and Armen Bagdasarov (1 medal)
11,1994 Winter,Sergey Brener,7,3,4,2,1,,,1,Lina Cheryazova (1 medal)
