
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Antonio José Pardo,1,1,0,1,,,,,
2,2012 Summer,Fabiola Ramos,68,42,26,15,1,,,1,Rubén Limardo (1 medal)
3,2008 Summer,María Soto,108,57,51,21,,,1,1,Dalia Contreras (1 medal)
4,2006 Winter,Werner Hoeger,1,1,0,1,,,,,
5,2004 Summer,Julio César Luna,48,33,15,15,,,2,2,Adriana Carmona and Israel José Rubio (1 medal)
6,2002 Winter,Iginia Boccalandro,4,3,1,1,,,,,
7,2000 Summer,Adriana Carmona,50,36,14,17,,,,,
8,1998 Winter,Iginia Boccalandro,1,0,1,1,,,,,
9,1996 Summer,Francisco Sánchez,39,34,5,12,,,,,
10,1992 Summer,María Elena Giusti,26,22,4,8,,,,,
11,1988 Summer,Elizabeth Popper,17,15,2,7,,,,,
12,1984 Summer,William Wuycke,26,25,1,10,,,3,3,3 athletes with 1 medal
13,1980 Summer,Antonio Esparragoza,37,37,0,7,,1,,1,José Piñango (1 medal)
14,1976 Summer,Manuel Luna,32,23,9,6,,1,,1,Pedro José Gamarro (1 medal)
15,1972 Summer,Francisco Rodríguez,23,20,3,4,,,,,
16,1968 Summer,,23,23,0,5,1,,,1,Francisco Rodríguez (1 medal)
17,1964 Summer,Téodoro Capriles,16,15,1,5,,,,,
18,1960 Summer,Rafael Romero,36,31,5,9,,,1,1,Enrico Forcella (1 medal)
19,1956 Summer,Rafael Romero,19,19,0,4,,,,,
20,1956 Equestrian,,3,3,0,1,,,,,
21,1952 Summer,Asnoldo Devonish,38,36,2,8,,,1,1,Asnoldo Devonish (1 medal)
22,1948 Summer,Julio César León,1,1,0,1,,,,,
23,1932 Summer,,1,1,0,1,,,,,
