
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,1992 Winter,,25,22,3,6,,,,,
2,1988 Summer,Matija Ljubek,155,117,38,18,3,4,5,12,Jasna Šekarić (2 medals)
3,1988 Winter,Bojan Križaj,22,16,6,7,,2,1,3,Matjaž Debelak (2 medals)
4,1984 Summer,Dražen Dalipagić,139,105,34,16,7,4,7,18,Matija Ljubek and Mirko Nišović (2 medals)
5,1984 Winter,Jure Franko,72,59,13,10,,1,,1,Jure Franko (1 medal)
6,1980 Summer,Matija Ljubek,164,136,28,17,2,3,4,9,57 athletes with 1 medal
7,1980 Winter,Bojan Križaj,15,11,4,5,,,,,
8,1976 Summer,Hrvoje Horvat,88,83,5,14,2,3,3,8,Matija Ljubek (2 medals)
9,1976 Winter,,28,27,1,4,,,,,
10,1972 Summer,Mirko Sandić,126,113,13,15,2,1,2,5,18 athletes with 1 medal
11,1972 Winter,,26,26,0,4,,,,,
12,1968 Summer,Branislav Simić,69,59,10,11,3,3,2,8,Đurđica Bjedov (2 medals)
13,1968 Winter,,30,29,1,4,,,,,
14,1964 Summer,Miroslav Cerar,75,72,3,9,2,1,2,5,Miroslav Cerar (2 medals)
15,1964 Winter,,31,29,2,4,,,,,
16,1960 Summer,Radovan Radović,116,107,9,14,1,1,,2,17 athletes with 1 medal
17,1956 Summer,Zdravko-Ćiro Kovačić,35,32,3,8,,3,,3,23 athletes with 1 medal
18,1956 Winter,,17,12,5,3,,,,,
19,1952 Summer,Oto Rebula,87,77,10,11,1,2,,3,24 athletes with 1 medal
20,1952 Winter,,6,4,2,3,,,,,
21,1948 Summer,Božo Grkinić,90,79,11,8,,2,,2,16 athletes with 1 medal
22,1948 Winter,,17,17,0,4,,,,,
23,1936 Summer,Milan Stepišnik,93,78,15,13,,1,,1,Leon Štukelj (1 medal)
24,1936 Winter,,17,17,0,4,,,,,
25,1932 Summer,Veljko Narančić,1,1,0,1,,,,,
26,1928 Summer,Dimitrije Stefanović,34,34,0,6,1,1,3,5,Leon Štukelj (3 medals)
27,1928 Winter,,6,6,0,1,,,,,
28,1924 Summer,Stane Perpar,42,42,0,9,2,,,2,Leon Štukelj (2 medals)
29,1924 Winter,Dušan Zinaja,4,4,0,1,,,,,
30,1920 Summer,,15,15,0,1,,,,,
