
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2012 Summer,Prince Moses Mumba,7,5,2,4,,,,,
2,2008 Summer,Hastings Bwalya,8,6,2,4,,,,,
3,2004 Summer,Davis Mwale,6,4,2,3,,,,,
4,2000 Summer,Samuel Matete,8,6,2,3,,,,,
5,1996 Summer,Davis Mwale,8,7,1,2,,1,,1,Samuel Matete (1 medal)
6,1992 Summer,Ngozi Mwanamwambwa,9,8,1,3,,,,,
7,1988 Summer,Samuel Chomba,29,29,0,3,,,,,
8,1984 Summer,Davison Lishebo,16,16,0,3,,,1,1,Keith Mwila (1 medal)
9,1980 Summer,,37,37,0,4,,,,,
10,1972 Summer,,11,8,3,2,,,,,
11,1968 Summer,,7,7,0,2,,,,,
12,1964 Summer,Trev Haynes,12,11,1,5,,,,,
