
Rk,Games,Flag Bearer,Participants,Men,Women,Sports,Gold,Silver,Bronze,Total,Top Medalist(s)
1,2014 Winter,Luke Henri Steyn,1,1,0,1,,,,,
2,2012 Summer,Kirsty Coventry,7,4,3,4,,,,,
3,2008 Summer,Brian Dzingai,13,8,5,6,1,3,,4,Kirsty Coventry (4 medals)
4,2004 Summer,Young Talkmore Nyongani,12,9,3,4,1,1,1,3,Kirsty Coventry (3 medals)
5,2000 Summer,Phillip Mukomana,16,11,5,5,,,,,
6,1996 Summer,Tendai Chimusasa,13,12,1,6,,,,,
7,1992 Summer,,19,10,9,6,,,,,
8,1988 Summer,James Gombedza,29,23,6,10,,,,,
9,1984 Summer,Zephaniah Ncube,15,12,3,5,,,,,
10,1980 Summer,Abel Nkhoma,42,23,19,10,1,,,1,15 athletes with 1 medal
11,1964 Summer,Lloyd Koch,29,25,4,7,,,,,
12,1928 Summer,,2,2,0,1,,,,,
